catalogue	date_released	size
RefSeq-release1.catalog.gz	2003-07-02	  8.9M  
RefSeq-release10.catalog.gz	2005-03-09	   16M  
RefSeq-release11.catalog.gz	2005-05-11	   20M  
RefSeq-release12.catalog.gz	2005-07-14	   23M  
RefSeq-release13.catalog.gz	2005-09-15	   28M  
RefSeq-release14.catalog.gz	2005-11-22	   27M  
RefSeq-release15.catalog.gz	2006-01-05	   28M  
RefSeq-release16.catalog.gz	2006-03-17	   31M  
RefSeq-release17.catalog.gz	2006-05-04	   33M  
RefSeq-release18.catalog.gz	2006-07-17	   34M  
RefSeq-release19.catalog.gz	2006-09-14	   36M  
RefSeq-release2.catalog.gz	2003-10-31	  9.2M  
RefSeq-release20.catalog.gz	2006-11-09	   38M  
RefSeq-release21.catalog.gz	2007-01-11	   40M  
RefSeq-release22.catalog.gz	2007-03-12	   43M  
RefSeq-release23.catalog.gz	2007-05-21	   46M  
RefSeq-release24.catalog.gz	2007-07-28	   50M  
RefSeq-release25.catalog.gz	2007-09-14	   54M  
RefSeq-release26.catalog.gz	2007-11-13	   55M  
RefSeq-release27.catalog.gz	2008-01-10	   58M  
RefSeq-release28.catalog.gz	2008-03-13	   66M  
RefSeq-release29.catalog.gz	2008-05-08	   69M  
RefSeq-release3.catalog.gz	2004-01-19	  9.2M  
RefSeq-release30.catalog.gz	2008-07-11	   71M  
RefSeq-release31.catalog.gz	2008-09-05	   76M  
RefSeq-release32.catalog.gz	2008-11-17	   79M  
RefSeq-release33.catalog.gz	2009-01-20	   85M  
RefSeq-release34.catalog.gz	2009-03-12	   83M  
RefSeq-release35.catalog.gz	2009-05-11	   91M  
RefSeq-release36.catalog.gz	2009-07-10	  100M  
RefSeq-release37.catalog.gz	2009-09-10	  107M  
RefSeq-release38.catalog.gz	2009-11-13	  111M  
RefSeq-release39.catalog.gz	2010-01-29	  112M  
RefSeq-release4.catalog.gz	2004-04-05	   10M  
RefSeq-release40.catalog.gz	2010-03-14	  114M  
RefSeq-release41.catalog.gz	2010-05-16	  119M  
RefSeq-release42.catalog.gz	2010-07-21	  124M  
RefSeq-release43.catalog.gz	2010-09-15	  131M  
RefSeq-release44.catalog.gz	2010-11-10	  135M  
RefSeq-release45.catalog.gz	2011-01-14	  138M  
RefSeq-release46.catalog.gz	2011-03-11	  140M  
RefSeq-release47.catalog.gz	2011-05-11	  145M  
RefSeq-release48.catalog.gz	2011-07-15	  149M  
RefSeq-release49.catalog.gz	2011-09-09	  150M  
RefSeq-release5.catalog.gz	2004-05-05	   11M  
RefSeq-release50.catalog.gz	2011-11-09	  155M  
RefSeq-release51.catalog.gz	2012-01-11	  161M  
RefSeq-release52.catalog.gz	2012-03-07	  166M  
RefSeq-release53.catalog.gz	2012-05-09	  175M  
RefSeq-release54.catalog.gz	2012-07-10	  179M  
RefSeq-release55.catalog.gz	2012-09-19	  190M  
RefSeq-release56.catalog.gz	2013-01-11	  196M  
RefSeq-release57.catalog.gz	2013-03-14	  278M  
RefSeq-release58.catalog.gz	2013-05-02	  301M  
RefSeq-release59.catalog.gz	2013-07-24	  319M  
RefSeq-release6.catalog.gz	2004-07-08	   11M  
RefSeq-release60.catalog.gz	2013-09-15	  335M  
RefSeq-release61.catalog.gz	2013-11-13	  344M  
RefSeq-release62.catalog.gz	2014-01-18	  376M  
RefSeq-release63.catalog.gz	2014-03-13	  395M  
RefSeq-release64.catalog.gz	2014-05-19	  404M  
RefSeq-release65.catalog.gz	2014-07-10	  419M  
RefSeq-release66.catalog.gz	2014-09-10	  473M  
RefSeq-release67.catalog.gz	2014-11-06	  496M  
RefSeq-release68.catalog.gz	2015-01-05	  535M  
RefSeq-release69.catalog.gz	2015-05-06	  603M  
RefSeq-release7.catalog.gz	2004-09-14	   13M  
RefSeq-release70.catalog.gz	2015-07-10	  609M  
RefSeq-release71.catalog.gz	2015-09-03	  635M  
RefSeq-release72.catalog.gz	2015-11-05	  648M  
RefSeq-release73.catalog.gz	2016-01-19	  686M  
RefSeq-release74.catalog.gz	2016-03-11	  732M  
RefSeq-release75.catalog.gz	2016-05-13	  760M  
RefSeq-release76.catalog.gz	2016-07-05	  800M  
RefSeq-release77.catalog.gz	2016-09-11	  824M  
RefSeq-release78.catalog.gz	2016-11-03	  875M  
RefSeq-release79.catalog.gz	2017-01-11	  908M  
RefSeq-release8.catalog.gz	2004-11-03	   14M  
RefSeq-release80.catalog.gz	2017-03-12	  965M  
RefSeq-release81.catalog.gz	2017-05-11	  1.0G  
RefSeq-release82.catalog.gz	2017-07-20	  1.0G  
RefSeq-release83.catalog.gz	2017-09-14	  1.1G  
RefSeq-release84.catalog.gz	2017-11-11	  1.1G  
RefSeq-release85.catalog.gz	2018-01-11	  781M  
RefSeq-release86.catalog.gz	2018-03-11	  796M  
RefSeq-release87.catalog.gz	2018-05-21	  827M  
RefSeq-release88.catalog.gz	2018-07-13	  854M  
RefSeq-release89.catalog.gz	2018-09-14	  874M  
RefSeq-release9.catalog.gz	2005-01-15	   15M  
RefSeq-release90.catalog.gz	2018-11-08	  928M  
RefSeq-release91.catalog.gz	2019-01-07	  958M  
RefSeq-release92.catalog.gz	2019-03-18	  1.0G  
RefSeq-release93.catalog.gz	2019-05-15	  1.0G  
RefSeq-release94.catalog.gz	2019-07-11	  1.0G  
RefSeq-release95.catalog.gz	2019-09-12	  1.1G  
RefSeq-release96.catalog.gz	2019-11-07	  1.1G  
